Region Name,sun,wind,curtail,Amount,Percentage,Regulation Hours
NY,sun0.5,wnd0.3,0.06,792819.5382762849,0.0103044878421277,5911.0
FLA,sun0.3,wnd0.5,0.18,2730479.3306378424,0.0148110642001954,5072.0
TEN,sun0.3,wnd0.5,0.1,486681.3315582872,0.0049378565240769,5409.0
TEX,sun0.3,wnd0.5,0.1,41156983.51485187,0.1242816236635772,8582.0
MIDA,sun0.5,wnd1,0.06,22706677.648135185,0.0413860319851229,8760.0
TEN,sun0.5,wnd1,0.1,673754.4449747801,0.0068358956179647,5427.0
MIDA,sun0.1,wnd0.1,0.18,3035012.148622155,0.0055317255921157,8760.0
NE,sun0.1,wnd0.1,0.14,322955.20619635284,0.0056869065092059,5399.0
NY,sun0.1,wnd1,0.18,2213788.504930377,0.0287732020122688,7402.0
MIDA,sun0.5,wnd0.3,0.14,8804353.082558632,0.0160471401377828,8760.0
FLA,sun0.1,wnd0.5,0.14,1098376.0028282702,0.0059579713024391,4466.0
NW,sun0.1,wnd0.3,0.06,12376058.896294862,0.0500097878831049,8604.0
TEN,sun0.3,wnd1,0.14,536806.4654805064,0.0054464248695394,6124.0
TEX,sun1,wnd0.1,0.18,27357451.144616663,0.0826112158176757,8588.0
TEX,sun0.5,wnd0.3,0.14,30994434.66912651,0.0935938044104634,8632.0
SE,sun0.5,wnd0.1,0.02,3336830.920941025,0.0174271195184817,3187.0
FLA,sun0.5,wnd0.5,0.18,4337623.427530676,0.023528769597542,5368.0
TEX,sun1,wnd1,0.14,84252676.13440719,0.254417561583615,8660.0
MIDW,sun0.5,wnd0.5,0.14,47570841.74032855,0.0618981282073726,8734.0
SW,sun1,wnd1,0.18,10123842.27453813,0.1222502616818827,7678.0
CAR,sun0.5,wnd0.1,0.06,2964220.3325189054,0.0211926640977215,5314.0
NY,sun1,wnd0.1,0.1,424222.32335691154,0.0055137311359588,7035.0
NE,sun0.3,wnd1,0.1,1669597.239724256,0.0293998772218815,5250.0
CENT,sun0.3,wnd0.1,0.06,10463317.383334696,0.0404052073019581,8760.0
TEN,sun0.3,wnd0.1,0.1,483465.5707360506,0.0049052294958219,5410.0
FLA,sun0.3,wnd0.5,0.02,2794943.4090893567,0.0151607396560168,2748.0
NY,sun0.3,wnd1,0.06,2317939.4603014886,0.0301268798690242,6736.0
NW,sun0.1,wnd1,0.1,34455901.41361055,0.1392311021994013,8533.0
FLA,sun0.5,wnd1,0.18,4337623.427530676,0.023528769597542,5368.0
NE,sun0.1,wnd0.5,0.18,877250.8207796738,0.0154474778767463,6057.0
MIDA,sun1,wnd0.3,0.18,11258373.446027637,0.0205199285759898,8760.0
NW,sun1,wnd0.3,0.02,22674849.553602964,0.0916256480321442,8759.0
NE,sun0.5,wnd0.3,0.14,755556.5732609034,0.0133045682872144,5545.0
CAL,sun0.3,wnd0.1,0.14,5710033.042622998,0.0467344244740109,8372.0
MIDA,sun1,wnd0.5,0.14,15166166.138961077,0.0276424163255023,8760.0
CAL,sun0.5,wnd0.5,0.18,10353306.763844147,0.0847378341595154,8511.0
NW,sun1,wnd1,0.1,44050654.49420798,0.1780020526588482,8449.0
NW,sun1,wnd0.3,0.18,19895771.835526586,0.0803958140150105,8479.0
NE,sun0.3,wnd1,0.14,1646657.5512654334,0.0289959330800542,5879.0
TEN,sun0.5,wnd0.1,0.1,666559.2037521005,0.0067628928818623,5433.0
NE,sun0.3,wnd0.1,0.18,421442.0073136762,0.0074211570170131,5863.0
TEX,sun0.1,wnd1,0.06,72442107.56283134,0.2187532219476506,8628.0
SE,sun0.3,wnd0.1,0.02,2019738.648731649,0.0105483998624709,2977.0
NY,sun0.3,wnd0.5,0.06,1230152.472986728,0.01598862110464,6534.0
